ID,Generation,Arquitectura,Optimizador,Epochs,Layer Sizes,LR,Batch
☁️ Ind 024,1,TCN,adam,57,"[87, 113, 81, 96]",0.0001,16
🌟 Ind 023,1,Dense,sgd,88,"[68, 90, 11, 66, 31]",0.0005,8
🌟 Ind 054,1,Dense,rmsprop,77,"[114, 20]",0.0005,32
🎛️ Ind 020,1,Transformer,sgd,46,"[18, 21, 73]",0.005,8
🎛️ Ind 048,1,TCN,sgd,98,"[96, 73, 38, 85]",0.0005,16
📡 Ind 047,1,Transformer,sgd,103,"[123, 98, 86, 89]",0.0001,8
🖥️ Ind 049,1,TCN,adam,88,"[124, 63, 102]",0.0001,16
🗣️ Ind 037,1,Dense,adam,41,"[87, 41, 103, 84, 36]",0.001,16
🛰️ Ind 013,1,Dense,adam,45,"[61, 55, 33]",0.0005,8
🤔 Ind 015,1,TCN,adam,84,"[122, 123, 39, 43, 29]",0.0005,8
💥 Ind 107,2,Dense,sgd,105,"[96, 14, 78]",0.0001,8
💻 Ind 055,2,Transformer,sgd,69,"[55, 18, 16, 62]",0.0001,8
📡 Ind 051,2,Transformer,adam,106,"[35, 25]",0.005,32
📢 Ind 022,2,Dense,sgd,84,[113],0.001,16
📢 Ind 053,2,Transformer,sgd,67,[40],0.005,8
📱 Ind 067,2,TCN,sgd,117,"[76, 57, 57, 21]",0.0005,8
🗣️ Ind 021,2,TCN,sgd,91,"[39, 38, 107, 105, 29]",0.001,8
🧠 Ind 076,2,Dense,rmsprop,118,"[42, 74, 20, 79, 10]",0.0001,16
🧬 Ind 064,2,TCN,sgd,114,[38],0.005,8
🧬 Ind 105,2,Transformer,rmsprop,86,"[35, 31, 125, 91]",0.005,32
⚙️ Ind 023,3,LSTM,sgd,95,"[44, 39, 78, 69]",0.0005,32
🎛️ Ind 022,3,Transformer,adam,76,"[120, 85]",0.001,32
👾 Ind 030,3,Dense,sgd,83,"[11, 92]",0.005,32
💻 Ind 029,3,GRU,rmsprop,72,"[37, 75, 69]",0.005,32
📝 Ind 026,3,Dense,sgd,106,"[76, 67, 110, 111]",0.0001,16
📱 Ind 024,3,TCN,sgd,73,"[78, 28]",0.0001,32
🔬 Ind 027,3,TCN,rmsprop,89,"[23, 56]",0.0005,32
🔬 Ind 028,3,LSTM,rmsprop,96,"[80, 15, 75, 33, 112]",0.001,32
🧑‍💻 Ind 020,3,TCN,adam,87,"[115, 73, 92, 87]",0.005,16
🪪 Ind 021,3,Dense,rmsprop,63,"[17, 26, 65, 77, 54]",0.0005,16
⏳ Ind 030,4,Dense,sgd,120,"[15, 50, 96, 113]",0.001,32
🏆 Ind 036,4,Dense,rmsprop,77,[82],0.001,32
🏆 Ind 037,4,Dense,rmsprop,99,"[100, 110]",0.0001,8
👀 Ind 034,4,Dense,rmsprop,99,"[22, 123, 88, 79, 116]",0.0001,16
📈 Ind 033,4,Dense,rmsprop,99,[127],0.005,16
📉 Ind 031,4,GRU,sgd,119,"[80, 95, 39, 116, 61]",0.005,16
🚀 Ind 035,4,LSTM,rmsprop,91,"[53, 56, 101, 14, 27]",0.0001,16
🤖 Ind 032,4,LSTM,adam,69,[58],0.001,32
🤝 Ind 038,4,LSTM,adam,101,"[50, 70]",0.0005,8
